skill_level,tasks,path,occupation_code,occupation_name,National Shortage Rating
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:determining advertising approach by consulting clients and management, and studying products to establish principal selling featureswriting advertisements for press, radio, television, cinema screens, billboards, catalogues and shop displaysmaking decisions about the specific content of publications in conjunction with other senior editors and in accordance with editorial policies and guidelinesreviewing copy for publication to ensure conformity with accepted rules of grammar, style and format, coherence of story, and accuracy, legality and probity of contentcollecting and analysing facts about newsworthy events from interviews, printed matter, investigations and observationswriting news reports, commentaries, articles and feature stories for newspapers, magazines, journals, television and radio on topics of public interestresearching and writing technical, information-based material and documentation for manuals, text books, handbooks and multimedia productscritically discussing daily news topics in the editorial columns of newspapers and reviewing books, films and playsOccupations:212411 Copywriter212412 Newspaper or Periodical Editor212413 Print Journalist212414 Radio Journalist212415 Technical Writer212416 Television Journalist212499 Journalists and Other Writers nec212411 CopywriterDesigns and composes written material to advertise products and services.Skill Level: 1212412 Newspaper or Periodical EditorAlternative Title:Associate EditorPlans and directs editing of a publication, such as a newspaper, magazine or journal, in accordance with editorial policies and guidelines and accepted rules of grammar, style and format prior to printing and distribution.Skill Level: 1Specialisations:Features EditorNews EditorPictures EditorSubeditorWebsite/Blog Editor212413 Print JournalistCollects and analyses facts about newsworthy events by interview, investigation and observation and writes stories for newspapers, magazines or journals.Skill Level: 1Specialisations:ColumnistFeature WriterLeader WriterNewspaper Reporter212414 Radio JournalistAlternative Title:Radio ReporterCollects and analyses facts about newsworthy events by interview, investigation and observation and writes stories for radio news or current affairs programs.Skill Level: 1212415 Technical WriterResearches and writes technical information-based material and documentation for articles, manuals, text books, handbooks, or multimedia products, usually for education or corporate purposes.Skill Level: 1212416 Television JournalistAlternative Title:Television ReporterCollects and analyses facts about newsworthy events by interview, investigation and observation and writes stories for television news or current affairs programs.Skill Level: 1212499 Journalists and Other Writers necThis occupation group covers Journalists and Other Writers not elsewhere classified.Skill Level: 1Occupations in this group include:BloggerCriticEditorial AssistantPhoto JournalistVlogger","determining advertising approach by consulting clients and management, and studying products to establish principal selling features; writing advertisements for press, radio, television, cinema screens, billboards, catalogues and shop displays; making decisions about the specific content of publications in conjunction with other senior editors and in accordance with editorial policies and guidelines; reviewing copy for publication to ensure conformity with accepted rules of grammar, style and format, coherence of story, and accuracy, legality and probity of content; collecting and analysing facts about newsworthy events from interviews, printed matter, investigations and observations; writing news reports, commentaries, articles and feature stories for newspapers, magazines, journals, television and radio on topics of public interest; researching and writing technical, information-based material and documentation for manuals, text books, handbooks and multimedia products; critically discussing daily news topics in the editorial columns of newspapers and reviewing books, films and plays",Professionals > Arts and Media Professionals > Media Professionals > Journalists and Other Writers,2124,Journalists and Other Writers,No Shortage
"Indicative Skill Level:Most occupations in this sub-major group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); orAQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); orNZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2).In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:collecting, analysing and interpreting information on the financial viability, cost structures and trading effectiveness of organisationsconducting audits, preparing financial statements and controlling treasury systems for organisationsdeveloping and reviewing financial plans and strategies, executing buy and sell orders, and negotiating the purchase and sale of commoditiesdeveloping, implementing and evaluating staff recruitment, training and development programsresearching, developing and implementing marketing and public relations campaignsstudying and developing methods and policies to improve and promote government and business operations and effectivenessdeveloping and managing record and archival systems for retention and destruction of legal, administrative, evidential, historical and other records","collecting, analysing and interpreting information on the financial viability, cost structures and trading effectiveness of organisations; conducting audits, preparing financial statements and controlling treasury systems for organisations; developing and reviewing financial plans and strategies, executing buy and sell orders, and negotiating the purchase and sale of commodities; developing, implementing and evaluating staff recruitment, training and development programs; researching, developing and implementing marketing and public relations campaigns; studying and developing methods and policies to improve and promote government and business operations and effectiveness; developing and managing record and archival systems for retention and destruction of legal, administrative, evidential, historical and other records","Professionals > Business, Human Resource and Marketing Professionals",22,"Business, Human Resource and Marketing Professionals",
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:collecting, analysing and interpreting information on the financial status, cost structures and trading effectiveness of organisationsdevising, re-organising and establishing budgetary cost control and other accounting systems such as computer-based systemsconducting audits and investigations and preparing financial statements and reports for management, shareholders, and statutory and other bodiescontrolling treasury and treasury systems and establishing and reviewing risk management objectives and treasury policiesarranging and giving notice of meetings of directors and shareholdersadvising organisations' governing boards on matters concerning compliance with stock exchange listing rules, relevant legislation and corporation practice","collecting, analysing and interpreting information on the financial status, cost structures and trading effectiveness of organisations; devising, re-organising and establishing budgetary cost control and other accounting systems such as computer-based systems; conducting audits and investigations and preparing financial statements and reports for management, shareholders, and statutory and other bodies; controlling treasury and treasury systems and establishing and reviewing risk management objectives and treasury policies; arranging and giving notice of meetings of directors and shareholders; advising organisations' governing boards on matters concerning compliance with stock exchange listing rules, relevant legislation and corporation practice","Professionals > Business, Human Resource and Marketing Professionals > Accountants, Auditors and Company Secretaries",221,"Accountants, Auditors and Company Secretaries",
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Registration or licensing may be required.Tasks Include:assisting in formulating budgetary and accounting policiespreparing financial statements for presentation to boards of directors, management, shareholders, and governing and statutory bodiesconducting financial investigations, preparing reports, undertaking audits and advising on matters such as the purchase and sale of businesses, mergers, capital financing, suspected fraud, insolvency and taxationexamining operating costs and organisations' income and expenditureproviding assurance about the accuracy of information contained in financial reports and their compliance with statutory requirementsproviding financial and taxation advice on business structures, plans and operationspreparing taxation returns for individuals and organisationsliaising with financial institutions and brokers to establish funds management arrangementsintroducing and maintaining accounting systems, and advising on the selection and application of computer-based accounting systemsmaintaining internal control systemsmay appraise cash flow and financial risk of capital investment projectsOccupations:221111 Accountant (General)221112 Management Accountant221113 Taxation Accountant221111 Accountant (General)Provides services relating to compliance-based financial reporting, auditing, insolvency and accounting information systems; and advises on associated record-keeping requirements. Registration or licensing may be required for certain services such as auditing.Skill Level: 1Specialisations:Financial AnalystInsolvency ConsultantInsolvency Practitioner221112 Management AccountantAlternative Title:Cost AccountantProvides services relating to performance-based financial reporting, asset valuation, budgetary systems, cost management, pricing, forecasting and the strategic governance of organisations. Provides advice on financial planning, risk management, carbon sequestration projects and carbon pricing and provides management with reports to assist in decision-making. May provide insight into cost performance and support the implementation of benchmarking and quality improvement initiatives. Registration or licensing may be required.Skill Level: 1Specialisations:Carbon AccountantCommercial AccountantProduct Accountant221113 Taxation AccountantAlternative Titles:Taxation AgentTaxation ConsultantAnalyses, reports and provides advice on taxation issues to organisations or individuals, prepares taxation returns and reports, and handles disputes with taxation authorities. Registration or licensing may be required.Skill Level: 1","assisting in formulating budgetary and accounting policies; preparing financial statements for presentation to boards of directors, management, shareholders, and governing and statutory bodies; conducting financial investigations, preparing reports, undertaking audits and advising on matters such as the purchase and sale of businesses, mergers, capital financing, suspected fraud, insolvency and taxation; examining operating costs and organisations' income and expenditure; providing assurance about the accuracy of information contained in financial reports and their compliance with statutory requirements; providing financial and taxation advice on business structures, plans and operations; preparing taxation returns for individuals and organisations; liaising with financial institutions and brokers to establish funds management arrangements; introducing and maintaining accounting systems, and advising on the selection and application of computer-based accounting systems; maintaining internal control systems; may appraise cash flow and financial risk of capital investment projects","Professionals > Business, Human Resource and Marketing Professionals > Accountants, Auditors and Company Secretaries > Accountants",2211,Accountants,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification. In the case of Corporate Treasurers and Company Secretaries, at least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1).Registration or licensing may be required.Tasks Include:arranging, giving notice of and attending meetings of directors and shareholdersadvising organisations' governing boards on matters concerning compliance with stock exchange listing rules, relevant legislation and corporation practicesupervising organisations' share capital by preparing documents and share issues, and handling share transferscontrolling treasury and treasury systems and establishing and reviewing risk management objectives and treasury policiesidentifying, managing and reporting on financial risksassisting with equity management, debt management, securities and taxation planning issuescollecting, analysing and interpreting information on the financial standing, cost structures and trading effectiveness of organisationsdevising, re-organising and establishing budgetary cost control and other accounting systems such as computer-based systemsconducting audits and investigations and preparing financial statements and reports for management, shareholders, and governing and statutory bodiesevaluating the cost effectiveness and risks of operational processes, activities, policies and systemsreporting to management on the existence and effectiveness of the system of internal controlsestablishing audit objectives, and designing and implementing audit methodologies, processes and audit report criteriaOccupations:221211 Company Secretary221212 Corporate Treasurer221213 External Auditor221214 Internal Auditor221211 Company SecretaryPlans, administers and reviews corporate compliance activities and effective practice concerning company board meetings and shareholdings, ensuring all business matters and transactions are managed and implemented as directed by the board.Skill Level: 1221212 Corporate TreasurerAlternative Title:Financial Risk ManagerManages corporate funding, liquidity and financial risk associated with the profitable development and operation of an organisation. May be involved in acquisitions, disposals and joint ventures. Registration or licensing may be required.Skill Level: 1221213 External AuditorDesigns and operates information and reporting systems, procedures and controls to meet external financial reporting requirements. Registration or licensing may be required.Skill Level: 1221214 Internal AuditorAlternative Title:Audit OfficerExamines, verifies, evaluates and reports on financial, operational and managerial processes, systems and outcomes to ensure financial and operational integrity and compliance, and assists in business process reviews, risk assessments, developing deliverables and reporting progress against outcomes. Registration or licensing may be required.Skill Level: 1","arranging, giving notice of and attending meetings of directors and shareholders; advising organisations' governing boards on matters concerning compliance with stock exchange listing rules, relevant legislation and corporation practice; supervising organisations' share capital by preparing documents and share issues, and handling share transfers; controlling treasury and treasury systems and establishing and reviewing risk management objectives and treasury policies; identifying, managing and reporting on financial risks; assisting with equity management, debt management, securities and taxation planning issues; collecting, analysing and interpreting information on the financial standing, cost structures and trading effectiveness of organisations; devising, re-organising and establishing budgetary cost control and other accounting systems such as computer-based systems; conducting audits and investigations and preparing financial statements and reports for management, shareholders, and governing and statutory bodies; evaluating the cost effectiveness and risks of operational processes, activities, policies and systems; reporting to management on the existence and effectiveness of the system of internal controls; establishing audit objectives, and designing and implementing audit methodologies, processes and audit report criteria","Professionals > Business, Human Resource and Marketing Professionals > Accountants, Auditors and Company Secretaries > Auditors, Company Secretaries and Corporate Treasurers",2212,"Auditors, Company Secretaries and Corporate Treasurers",Shortage
"Indicative Skill Level:Most occupations in this minor group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); orAQF Associate Degree, Advanced Diploma or Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In New Zealand:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1); orNZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2).In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Tasks Include:obtaining information on securities, market conditions, government regulations and financial circumstances of clientsexecuting buy and sell orders in the market place on behalf of clients, and offering advice on financial matters such as stocks and bonds, market conditions and the history and prospects of corporationsrecording and transmitting buy and sell orders, and calculating and recording costs of transactionsarranging insurance, home loan mortgages and other types of finance for clients through banks, lenders, financiers and insurance companiesdeveloping lists of investments for clients, and reviewing and revising investment plans based on modified needs and changes in marketsnegotiating the purchase and sale of commodities such as grains, wool, minerals and metalsinterviewing prospective clients to determine financial status and objectives, discussing their financial options and developing financial plans and strategiesmanaging funds raised from personal superannuation saving policies and unit trusts","obtaining information on securities, market conditions, government regulations and financial circumstances of clients; executing buy and sell orders in the market place on behalf of clients, and offering advice on financial matters such as stocks and bonds, market conditions and the history and prospects of corporations; recording and transmitting buy and sell orders, and calculating and recording costs of transactions; arranging insurance, home loan mortgages and other types of finance for clients through banks, lenders, financiers and insurance companies; developing lists of investments for clients, and reviewing and revising investment plans based on modified needs and changes in markets; negotiating the purchase and sale of commodities such as grains, wool, minerals and metals; interviewing prospective clients to determine financial status and objectives, discussing their financial options and developing financial plans and strategies; managing funds raised from personal superannuation saving policies and unit trusts","Professionals > Business, Human Resource and Marketing Professionals > Financial Brokers and Dealers, and Investment Advisers",222,"Financial Brokers and Dealers, and Investment Advisers",
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:AQF Associate Degree, Advanced Diploma or Diploma (ANZSCO Skill Level 2)In New Zealand:NZQF Diploma (ANZSCO Skill Level 2)At least three years of relevant experience may substitute for the formal qualifications listed above. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Registration or licensing may be required.Tasks Include:monitoring commodity prices, trends and other factors affecting the supply and demand for commoditiesnegotiating the purchase and sale of commodities such as grains, wool, minerals and metalsdetermining the specific financial and insurance requirements of clients, and researching and reviewing available finance and insurance products for suitability to meet clients' requirementsanalysing clients' financial status, discussing financial options and developing financial strategiesrecommending loan combinations that meet clients' needsinterviewing prospective clients to explain insurance policy conditions, risks covered, premium rates and benefits, and to make recommendations on the amount and type of coverarranging insurance, home loan mortgages and other types of finance for clients through banks, lenders, financiers and insurance companiespreparing documents which set out the conditions of finance, repayments and loan periodsidentifying and advising on significant risk changes to clients' insurancebroking complex and commercial leases, equipment finance, commercial finance, project finance and finance for property developersOccupations:222111 Commodities Trader222112 Finance Broker222113 Insurance Broker222199 Financial Brokers nec222111 Commodities TraderAlternative Title:Commodities BrokerOperates as an independent agent to bring together buyers and sellers of commodities, negotiates private sales and arranges sales through established market places.Skill Level: 2Specialisations:Energy TraderGrain BuyerLivestock TraderMedia BuyerWater Broker/TraderWool Broker222112 Finance BrokerOperates as an independent agent in the course of financial negotiations and arranges loans of money on behalf of clients. Registration or licensing is required.Skill Level: 2Specialisations:Lease BrokerMortgage Broker222113 Insurance BrokerOperates as an independent agent to sell life, fire, accident, industrial or other forms of insurance for a range of insurance companies. Registration or licensing is required.Skill Level: 2222199 Financial Brokers necThis occupation group covers Financial Brokers not elsewhere classified. Registration or licensing is required.Skill Level: 2Occupations in this group include:Investment Broker","monitoring commodity prices, trends and other factors affecting the supply and demand for commodities; negotiating the purchase and sale of commodities such as grains, wool, minerals and metals; determining the specific financial and insurance requirements of clients, and researching and reviewing available finance and insurance products for suitability to meet clients' requirements; analysing clients' financial status, discussing financial options and developing financial strategies; recommending loan combinations that meet clients' needs; interviewing prospective clients to explain insurance policy conditions, risks covered, premium rates and benefits, and to make recommendations on the amount and type of cover; arranging insurance, home loan mortgages and other types of finance for clients through banks, lenders, financiers and insurance companies; preparing documents which set out the conditions of finance, repayments and loan periods; identifying and advising on significant risk changes to clients' insurance; broking complex and commercial leases, equipment finance, commercial finance, project finance and finance for property developers","Professionals > Business, Human Resource and Marketing Professionals > Financial Brokers and Dealers, and Investment Advisers > Financial Brokers",2221,Financial Brokers,No Shortage
"Indicative Skill Level:In Australia:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Registration or licensing is required.Tasks Include:obtaining information on securities, market conditions, government regulations and financial circumstances of clientsinterpreting data from securities reports, financial periodicals and stock-quotation viewer screensanalysing financial markets and financial market productsproviding information and offering advice on financial market matters, market conditions and the history and prospects of corporationsexecuting buy and sell orders in the market place on behalf of clientsrelaying trade information to clients such as the number of contracts bought and sold and the pricemonitoring futures prices and market changes, and bidding for commodity futures contractsrecording and transmitting buy and sell orderscalculating and recording costs of transactionsOccupations:222211 Financial Market Dealer222212 Futures Trader222213 Stockbroking Dealer222299 Financial Dealers nec222211 Financial Market DealerAlternative Title:Money Market DealerBuys and sells securities within financial markets, and trades and distributes financial securities on behalf of financial institutions. Registration or licensing is required.Skill Level:1 Australia2 New ZealandSpecialisations:Derivatives TraderFixed Interest DealerForeign Exchange DealerSecurities Dealer222212 Futures TraderBuys and sells commodity futures on behalf of clients. Registration or licensing is required.Skill Level:1 Australia2 New Zealand222213 Stockbroking DealerAlternative Titles:SharebrokerStockbrokerBuys and sells stocks and bonds on behalf of clients. Registration or licensing is required.Skill Level:1 Australia2 New ZealandSpecialisation:Trading Floor Operator (Stock Exchange)222299 Financial Dealers necThis occupation group covers Financial Dealers not elsewhere classified. Registration or licensing is required.Skill Level:1 Australia2 New ZealandOccupations in this group include:Equities Analyst","obtaining information on securities, market conditions, government regulations and financial circumstances of clients; interpreting data from securities reports, financial periodicals and stock-quotation viewer screens; analysing financial markets and financial market products; providing information and offering advice on financial market matters, market conditions and the history and prospects of corporations; executing buy and sell orders in the market place on behalf of clients; relaying trade information to clients such as the number of contracts bought and sold and the price; monitoring futures prices and market changes, and bidding for commodity futures contracts; recording and transmitting buy and sell orders; calculating and recording costs of transactions","Professionals > Business, Human Resource and Marketing Professionals > Financial Brokers and Dealers, and Investment Advisers > Financial Dealers",2222,Financial Dealers,No Shortage
"Indicative Skill Level:Most occupations in this unit group have a level of skill commensurate with the qualifications and experience outlined below.In Australia:Bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification (ANZSCO Skill Level 1)In New Zealand:NZQF Diploma, or at least three years of relevant experience (ANZSCO Skill Level 2)In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification.Registration or licensing is required.Tasks Include:interviewing prospective clients to determine financial status and objectives, discussing financial options and developing financial plans and investment strategiesmonitoring investment performance, and reviewing and revising investment plans based on modified needs and changes in marketsrecommending and arranging insurance cover for clientsarranging to buy and sell stocks and bonds for clientsadvising on investment strategies, sources of funds and the distribution of earningssetting financial objectives, and developing and implementing strategies for achieving the financial objectivesmanaging funds raised from personal superannuation savings policies and unit trustsassisting in meeting superannuation compliance requirementsdirecting the collection of financial, accounting and investment information and the preparation of budgets, reports, forecasts and statutory returnsmay refer clients to other organisations to obtain services outlined in financial plansOccupations:222311 Financial Investment Adviser222312 Financial Investment Manager222311 Financial Investment AdviserAlternative Title:Financial Planning AdviserDevelops and implements financial plans for individuals or organisations, and advises on investment strategies and their taxation implications, securities, insurance, pension plans and real estate. Registration or licensing is required.Skill Level:1 Australia2 New Zealand222312 Financial Investment ManagerAlternative Title:Portfolio ManagerInvests and manages sums of money and assets on behalf of others over an agreed period of time, in order to generate income and profit. Registration or licensing is required.Skill Level:1 Australia2 New ZealandSpecialisations:Superannuation Funds ManagerUnit Trust Manager","interviewing prospective clients to determine financial status and objectives, discussing financial options and developing financial plans and investment strategies; monitoring investment performance, and reviewing and revising investment plans based on modified needs and changes in markets; recommending and arranging insurance cover for clients; arranging to buy and sell stocks and bonds for clients; advising on investment strategies, sources of funds and the distribution of earnings; setting financial objectives, and developing and implementing strategies for achieving the financial objectives; managing funds raised from personal superannuation savings policies and unit trusts; assisting in meeting superannuation compliance requirements; directing the collection of financial, accounting and investment information and the preparation of budgets, reports, forecasts and statutory returns; may refer clients to other organisations to obtain services outlined in financial plans","Professionals > Business, Human Resource and Marketing Professionals > Financial Brokers and Dealers, and Investment Advisers > Financial Investment Advisers and Managers",2223,Financial Investment Advisers and Managers,Shortage
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:arranging for advertising of job vacancies, interviewing and testing of applicants, and selection of staffproviding advice and information to management on human resource policies and procedures, staff performance and misconduct mattersundertaking negotiations on terms and conditions of employment, and examining and resolving disputes and grievancesstudying and interpreting legislation, awards and agreements, wage payment systems, and dispute settlement proceduresdeveloping, planning and formulating workplace relations policies and programs, and procedures for their implementationidentifying and determining the need for training, through identifying competencies and defining training requirements in the work environmentdesigning, developing and assessing staff training and development","arranging for advertising of job vacancies, interviewing and testing of applicants, and selection of staff; providing advice and information to management on human resource policies and procedures, staff performance and misconduct matters; undertaking negotiations on terms and conditions of employment, and examining and resolving disputes and grievances; studying and interpreting legislation, awards and agreements, wage payment systems, and dispute settlement procedures; developing, planning and formulating workplace relations policies and programs, and procedures for their implementation; identifying and determining the need for training, through identifying competencies and defining training requirements in the work environment; designing, developing and assessing staff training and development","Professionals > Business, Human Resource and Marketing Professionals > Human Resource and Training Professionals",223,Human Resource and Training Professionals,
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:arranging for advertising of job vacancies, interviewing and testing of applicants, and selection of staffmaintaining personnel records and associated human resource information systemsproviding advice and information to management on workplace relations policies and procedures, staff performance and disciplinary mattersarranging the induction of staff and providing information on conditions of service, salaries and promotional opportunitiesreceiving and recording job vacancy information from employers such as details about job description, wages and conditions of employmentproviding information on current job vacancies in the organisation to employers and job seekersundertaking negotiations on terms and conditions of employment, and examining and resolving disputes and grievancesstudying and interpreting legislation, awards, collective agreements and employment contracts, wage payment systems and dispute settlement proceduresdeveloping, planning and formulating enterprise agreements or collective contracts such as productivity-based wage adjustment procedures, workplace relations policies and programs, and procedures for their implementationoverseeing the formation and conduct of workplace consultative committees and employee participation initiativesOccupations:223111 Human Resource Adviser223112 Recruitment Consultant223113 Workplace Relations Adviser223111 Human Resource AdviserAlternative Title:Human Resource ConsultantProvides staffing and personnel administration services in support of an organisation's human resource policies and programs.Skill Level: 1Specialisations:Personnel OfficerWorkforce Planning Analyst223112 Recruitment ConsultantAlternative Title:Employment ConsultantInterviews applicants to determine their job requirements and suitability for particular jobs, and assists employers to find suitable staff.Skill Level: 1Specialisations:Casting AgentLiterary Agent223113 Workplace Relations AdviserAssists in resolving disputes by advising on workplace relations policies and problems, and representing industrial, commercial, union, employer or other parties in negotiations on rates of pay and conditions of employment.Skill Level: 1Specialisations:Industrial Relations OfficerTrade Union OfficialUnion Organiser","arranging for advertising of job vacancies, interviewing and testing of applicants, and selection of staff; maintaining personnel records and associated human resource information systems; providing advice and information to management on workplace relations policies and procedures, staff performance and disciplinary matters; arranging the induction of staff and providing information on conditions of service, salaries and promotional opportunities; receiving and recording job vacancy information from employers such as details about job description, wages and conditions of employment; providing information on current job vacancies in the organisation to employers and job seekers; undertaking negotiations on terms and conditions of employment, and examining and resolving disputes and grievances; studying and interpreting legislation, awards, collective agreements and employment contracts, wage payment systems and dispute settlement procedures; developing, planning and formulating enterprise agreements or collective contracts such as productivity-based wage adjustment procedures, workplace relations policies and programs, and procedures for their implementation; overseeing the formation and conduct of workplace consultative committees and employee participation initiatives","Professionals > Business, Human Resource and Marketing Professionals > Human Resource and Training Professionals > Human Resource Professionals",2231,Human Resource Professionals,No Shortage
"Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:identifying training needs and requirements of individuals and organisationssetting human resource development objectives and evaluating learning outcomespreparing and developing instructional training material and aids such as handbooks, visual aids, online tutorials, demonstration models, and supporting training reference documentationdesigning, coordinating, scheduling and conducting training and development programs that can be delivered in the form of individual and group instruction, and facilitating workshops, meetings, demonstrations and conferencesliaising with external training providers to arrange delivery of specific training and development programspromoting internal and external training and development, and evaluating these promotional activitiesmonitoring and performing ongoing evaluation and assessment of training quality and effectiveness, and reviewing and modifying training objectives, methods and course deliverablesgathering, investigating and researching background materials to gain an understanding of various subject matters and systemsadvising management on the development and placement of staff, and providing career counselling for employeeskeeping up-to-date with new product version releases, advances in programming languages, application development software, and general information technology trendswriting end user products and materials such as user training, tutorial and instruction manuals, online help, and operating and maintenance instructionsOccupation:223311 Training and Development Professional223311 Training and Development ProfessionalAlternative Title:Training OfficerPlans, develops, implements and evaluates training and development programs to ensure management and staff acquire the skills and develop the competencies required by an organisation to meet organisational objectives.Skill Level: 1Specialisations:Education Officer (Air Force and Army)Training Systems Officer (Navy)ICT Trainer","identifying training needs and requirements of individuals and organisations; setting human resource development objectives and evaluating learning outcomes; preparing and developing instructional training material and aids such as handbooks, visual aids, online tutorials, demonstration models, and supporting training reference documentation; designing, coordinating, scheduling and conducting training and development programs that can be delivered in the form of individual and group instruction, and facilitating workshops, meetings, demonstrations and conferences; liaising with external training providers to arrange delivery of specific training and development programs; promoting internal and external training and development, and evaluating these promotional activities; monitoring and performing ongoing evaluation and assessment of training quality and effectiveness, and reviewing and modifying training objectives, methods and course deliverables; gathering, investigating and researching background materials to gain an understanding of various subject matters and systems; advising management on the development and placement of staff, and providing career counselling for employees; keeping up-to-date with new product version releases, advances in programming languages, application development software, and general information technology trends; writing end user products and materials such as user training, tutorial and instruction manuals, online help, and operating and maintenance instructions","Professionals > Business, Human Resource and Marketing Professionals > Human Resource and Training Professionals > Training and Development Professionals",2233,Training and Development Professionals,No Shortage
"Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Tasks Include:applying mathematical, statistical and actuarial principles and techniques to a range of tasksdeveloping, organising and maintaining libraries and other information keeping servicesreviewing and analysing economic data and preparing reportsmanaging the collection and processing of information and data to produce intelligence, and analysing and advising on policy optionsassessing the value of land, property and other items, and providing advice on the administration, and commercial and operational use of land and propertystudying organisational structures and methods to solve organisational problems and achieve greater efficiency","applying mathematical, statistical and actuarial principles and techniques to a range of tasks; developing, organising and maintaining libraries and other information keeping services; reviewing and analysing economic data and preparing reports; managing the collection and processing of information and data to produce intelligence, and analysing and advising on policy options; assessing the value of land, property and other items, and providing advice on the administration, and commercial and operational use of land and property; studying organisational structures and methods to solve organisational problems and achieve greater efficiency","Professionals > Business, Human Resource and Marketing Professionals > Information and Organisation Professionals",224,Information and Organisation Professionals,
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).Registration or licensing may be required.,"defining, analysing and solving complex financial and business problems relating to areas such as insurance premiums, annuities, superannuation funds, pensions and dividends; examining financial projections for general insurance companies, finance companies, government and other organisations; designing new types of policies, assessing risks and analysing investments in life insurance, superannuation funds, health insurance, friendly societies, financial markets and other areas; formulating mathematical models to simulate processes; applying models to experimental observations, and adjusting and recasting the models; using numerical analysis methods to develop algorithms and perform computations; liaising with management and clients to determine the subject or area to be surveyed or examined; specifying the data to be collected, and the methodology to be used in collection and analysis; evaluating and describing the reliability and utility of source information; analysing and interpreting data, and producing relevant statistics to describe and infer particular trends and patterns; data mining and data cleansing to discover trends to extract insight; building and deploying machine learning frameworks","Professionals > Business, Human Resource and Marketing Professionals > Information and Organisation Professionals > Mathematical Science Professionals",2241,Mathematical Science Professionals,No Shortage
